CEO Name,Founder (Y/N),Total Stock Return (TSR) During CEO's Tenure,Company Name,Ticker,Industry,Sector,CEO Compensation ($ millions),Equity Transactions,CEO Start Date,Start Date Stock Price,Stock Price
Tim Cook,N,1629%,Apple Inc.,AAPL,Computer Manufacturing,Technology,$74.60 ,https://www.nasdaq.com/market-activity/insiders/cook-timothy-d-628915,2011-08-24,$11.36 ,$196.45 
Brian Chesky,Y,-3%,Airbnb Inc.,ABNB,Diversified Commercial Services,Finance,$0.20 ,https://www.nasdaq.com/market-activity/insiders/chesky-brian-1137267,2020-12-10,$139.25 ,$135.54 
Shantanu Narayen,N,829%,Adobe,ADBE,Computer Software: Prepackaged Software,Technology,$52.40 ,https://www.nasdaq.com/market-activity/insiders/narayen-shantanu-420408,2007-12-01,$42.14 ,$391.68 
Vincent Roche,N,531%,Analog Devices Inc.,ADI,Semiconductors,Technology,$22.40 ,https://www.nasdaq.com/market-activity/insiders/roche-vincent-593227,2013-05-06,$35.67 ,$225.03 
Maria Black,N,27%,Automatic Data Processing Inc.,ADP,EDP Services,Technology,$15.90 ,https://www.nasdaq.com/market-activity/insiders/black-maria-935071,2023-01-01,$240.79 ,$306.82 
Andrew Anagnost,N,175%,Autodesk Inc.,ADSK,Computer Software: Prepackaged Software,Technology,$25.20 ,https://www.nasdaq.com/market-activity/insiders/anagnost-andrew-982301,2017-06-19,$106.16 ,$292.16 
William J. Fehrman,N,18%,American Electric Power Co.,AEP,Electric Utilities: Central,Utilities,$13.30 ,https://www.nasdaq.com/market-activity/insiders/fehrman-william-1282084,2024-06-26,$87.16 ,$102.90 
Gary E. Dickerson,N,1217%,Applied Materials Inc.,AMAT,Semiconductors,Technology,$27.80 ,https://www.nasdaq.com/market-activity/insiders/dickerson-gary-e-384914,2013-09-01,$12.95 ,$170.59 
Lisa Tzwu-Fang Su,N,3441%,Advanced Micro Devices Inc.,AMD,Semiconductors,Technology,$31.00 ,https://www.nasdaq.com/market-activity/insiders/su-lisa-t-753795,2014-10-08,$3.28 ,$116.16 
Robert A. Bradway,N,476%,Amgen Inc.,AMGN,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$24.40 ,https://www.nasdaq.com/market-activity/insiders/bradway-robert-a-741246,2012-05-01,$51.26 ,$295.22 
Andy Jassy,N,149%,Amazon.com,AMZN,Catalog/Specialty Distribution,Consumer Discretionary,$1.60 ,https://www.nasdaq.com/market-activity/insiders/jassy-andrew-r-721122,2021-07-01,$85.02 ,$212.10 
Ajei Gopal,N,262%,ANSYS Inc.,ANSS,Computer Software: Prepackaged Software,Technology,$32.80 ,https://www.nasdaq.com/market-activity/insiders/gopal-ajei-649328,2017-01-01,$93.35 ,$338.01 
Adam Foroughi,Y,459%,Applovin Corporation,APP,"Computer Software: Programming, Data Processing",Technology,$11.20 ,https://www.nasdaq.com/market-activity/insiders/foroughi-arash-adam-1155034,2021-04-15,$65.20 ,$364.49 
Rene Haas,N,113%,ARM Holdings PLC ADR,ARM,Semiconductors,Technology,$24.50 ,https://www.nasdaq.com/market-activity/stocks/arm/insider-activity,2023-09-14,$63.59 ,$135.55 
Christophe Fouquet,N,-16%,ASML Holding NV,ASML,Industrial Machinery/Components,Technology,$6.30 ,https://www.nasdaq.com/market-activity/stocks/asml/insider-activity,2024-04-25,$900.64 ,$761.00 
Hock E. Tan,N,14973%,Broadcom Inc.,AVGO,Semiconductors,Technology,$2.60 ,https://www.nasdaq.com/market-activity/insiders/tan-hock-e-591126,2009-08-09,$1.65 ,$248.70 
Rick Smith,Y,169602%,"Axon Enterprise, Inc.",AXON,Ordnance And Accessories,Industrials, ,https://www.nasdaq.com/market-activity/stocks/axon/insider-activity,2001-06-19,$0.46 ,$780.63 
Pascal Soriot,N,378%,AstraZeneca PLC ADR,AZN,Biotechnology: Pharmaceutical Preparations,Health Care, ,https://www.nasdaq.com/market-activity/stocks/azn/insider-activity,2012-10-01,$15.58 ,$74.42 
Chris Viehbacher,N,-56%,Biogen Inc.,BIIB,Biotechnology: Biological Products (No Diagnostic Substances),Health Care, ,"https://www.nasdaq.com/market-activity/insiders/viehbacher-christopher-1085066
",2022-11-14,$299.06 ,$130.65 
Glenn D. Fogel,N,260%,Booking Holdings Inc.,BKNG,Transportation Services,Consumer Discretionary, ,https://www.nasdaq.com/market-activity/insiders/fogel-glenn-d-851923,2017-01-01,"$1,470.41 ","$5,298.38 "
Lorenzo Simonelli,N,19%,Baker Hughes Co.,BKR,Metal Fabrications,Industrials, ,https://www.nasdaq.com/market-activity/insiders/simonelli-lorenzo-1027241,2017-07-03,$32.81 ,$39.04 
